,Retailer,Retailer ID,Invoice Date,Region,State,City,Product,Price per Unit,Units Sold,Total Sales,Operating Profit,Operating Margin,Sales Method,Invoice Month,Invoice Year,Invoice Day
0,Foot Locker,1185732,2020-01-01,Northeast,New York,New York,Men's Street Footwear,50.0,1200,600000,300000,50%,In-store,January,2020,Wednesday
1,Foot Locker,1185732,2020-01-02,Northeast,New York,New York,Men's Athletic Footwear,50.0,1000,500000,150000,30%,In-store,January,2020,Thursday
2,Foot Locker,1185732,2020-01-03,Northeast,New York,New York,Women's Street Footwear,40.0,1000,400000,140000,35%,In-store,January,2020,Friday
3,Foot Locker,1185732,2020-01-04,Northeast,New York,New York,Women's Athletic Footwear,45.0,850,382500,133875,35%,In-store,January,2020,Saturday
4,Foot Locker,1185732,2020-01-05,Northeast,New York,New York,Men's Apparel,60.0,900,540000,162000,30%,In-store,January,2020,Sunday
5,Foot Locker,1185732,2020-01-06,Northeast,New York,New York,Women's Apparel,50.0,1000,500000,125000,25%,In-store,January,2020,Monday
6,Foot Locker,1185732,2020-01-07,Northeast,New York,New York,Men's Street Footwear,50.0,1250,625000,312500,50%,In-store,January,2020,Tuesday
7,Foot Locker,1185732,2020-01-08,Northeast,New York,New York,Men's Athletic Footwear,50.0,900,450000,135000,30%,Outlet,January,2020,Wednesday
8,Foot Locker,1185732,2020-01-21,Northeast,New York,New York,Women's Street Footwear,40.0,950,380000,133000,35%,Outlet,January,2020,Tuesday
9,Foot Locker,1185732,2020-01-22,Northeast,New York,New York,Women's Athletic Footwear,45.0,825,371250,129938,35%,Outlet,January,2020,Wednesday
10,Foot Locker,1185732,2020-01-23,Northeast,New York,New York,Men's Apparel,60.0,900,540000,162000,30%,Outlet,January,2020,Thursday
11,Foot Locker,1185732,2020-01-24,Northeast,New York,New York,Women's Apparel,50.0,1000,500000,125000,25%,Outlet,January,2020,Friday
12,Foot Locker,1185732,2020-01-25,Northeast,New York,New York,Men's Street Footwear,50.0,1220,610000,305000,50%,Outlet,January,2020,Saturday
13,Foot Locker,1185732,2020-01-26,Northeast,New York,New York,Men's Athletic Footwear,50.0,925,462500,138750,30%,Outlet,January,2020,Sunday
14,Foot Locker,1185732,2020-01-27,Northeast,New York,New York,Women's Street Footwear,40.0,950,380000,133000,35%,Outlet,January,2020,Monday
15,Foot Locker,1185732,2020-01-28,Northeast,New York,New York,Women's Athletic Footwear,45.0,800,360000,126000,35%,Outlet,January,2020,Tuesday
16,Foot Locker,1185732,2020-01-29,Northeast,New York,New York,Men's Apparel,60.0,850,510000,153000,30%,Outlet,January,2020,Wednesday
17,Foot Locker,1185732,2020-01-30,Northeast,New York,New York,Women's Apparel,50.0,950,475000,118750,25%,Outlet,January,2020,Thursday
18,Foot Locker,1185732,2020-01-31,Northeast,New York,New York,Men's Street Footwear,50.0,1200,600000,300000,50%,Outlet,January,2020,Friday
19,Foot Locker,1185732,2020-02-01,Northeast,New York,New York,Men's Athletic Footwear,50.0,900,450000,135000,30%,Outlet,February,2020,Saturday
20,Foot Locker,1185732,2020-02-02,Northeast,New York,New York,Women's Street Footwear,40.0,900,360000,126000,35%,Outlet,February,2020,Sunday
21,Foot Locker,1185732,2020-02-03,Northeast,New York,New York,Women's Athletic Footwear,45.0,825,371250,129938,35%,Outlet,February,2020,Monday
22,Foot Locker,1185732,2020-02-04,Northeast,New York,New York,Men's Apparel,60.0,825,495000,148500,30%,Outlet,February,2020,Tuesday
23,Foot Locker,1185732,2020-02-05,Northeast,New York,New York,Women's Apparel,50.0,950,475000,118750,25%,Outlet,February,2020,Wednesday
24,Foot Locker,1185732,2020-02-06,Northeast,New York,New York,Men's Street Footwear,60.0,1220,732000,366000,50%,Outlet,February,2020,Thursday
25,Foot Locker,1185732,2020-02-07,Northeast,New York,New York,Men's Athletic Footwear,55.0,925,508750,152625,30%,Outlet,February,2020,Friday
26,Foot Locker,1185732,2020-02-08,Northeast,New York,New York,Women's Street Footwear,50.0,900,450000,157500,35%,Outlet,February,2020,Saturday
27,Foot Locker,1185732,2020-02-09,Northeast,New York,New York,Women's Athletic Footwear,50.0,850,425000,148750,35%,Outlet,February,2020,Sunday
28,Foot Locker,1185732,2020-02-10,Northeast,New York,New York,Men's Apparel,60.0,875,525000,157500,30%,Outlet,February,2020,Monday
29,Foot Locker,1185732,2020-03-03,Northeast,New York,New York,Women's Apparel,65.0,1000,650000,162500,25%,Outlet,March,2020,Tuesday
30,Foot Locker,1185732,2020-03-04,Northeast,New York,New York,Men's Street Footwear,60.0,1250,750000,375000,50%,Outlet,March,2020,Wednesday
31,Foot Locker,1185732,2020-03-05,Northeast,New York,New York,Men's Athletic Footwear,55.0,1000,550000,165000,30%,Outlet,March,2020,Thursday
32,Foot Locker,1185732,2020-03-06,Northeast,New York,New York,Women's Street Footwear,50.0,925,462500,161875,35%,Outlet,March,2020,Friday
33,Foot Locker,1185732,2020-03-07,Northeast,New York,New York,Women's Athletic Footwear,50.0,900,450000,157500,35%,Outlet,March,2020,Saturday
34,Foot Locker,1185732,2020-03-08,Northeast,New York,New York,Men's Apparel,60.0,900,540000,162000,30%,Outlet,March,2020,Sunday
35,Foot Locker,1185732,2020-03-09,Northeast,New York,New York,Women's Apparel,65.0,1050,682500,170625,25%,Outlet,March,2020,Monday
36,Foot Locker,1185732,2020-03-10,Northeast,New York,New York,Men's Street Footwear,60.0,1275,765000,382500,50%,Outlet,March,2020,Tuesday
37,Foot Locker,1185732,2020-03-11,Northeast,New York,New York,Men's Athletic Footwear,55.0,1025,563750,169125,30%,Outlet,March,2020,Wednesday
38,Foot Locker,1185732,2020-03-12,Northeast,New York,New York,Women's Street Footwear,50.0,950,475000,166250,35%,Outlet,March,2020,Thursday
39,Foot Locker,1185732,2020-03-13,Northeast,New York,New York,Women's Athletic Footwear,50.0,900,450000,157500,35%,Outlet,March,2020,Friday
40,Foot Locker,1185732,2020-03-14,Northeast,New York,New York,Men's Apparel,60.0,925,555000,166500,30%,Outlet,March,2020,Saturday
41,Foot Locker,1185732,2020-03-15,Northeast,New York,New York,Women's Apparel,65.0,1100,715000,178750,25%,Outlet,March,2020,Sunday
42,Foot Locker,1185732,2020-03-16,Northeast,New York,New York,Men's Street Footwear,60.0,1250,750000,375000,50%,Outlet,March,2020,Monday
43,Foot Locker,1185732,2020-03-17,Northeast,New York,New York,Men's Athletic Footwear,55.0,1025,563750,169125,30%,Outlet,March,2020,Tuesday
44,Foot Locker,1185732,2020-03-18,Northeast,New York,New York,Women's Street Footwear,50.0,950,475000,166250,35%,Outlet,March,2020,Wednesday
45,Foot Locker,1185732,2020-03-31,Northeast,New York,New York,Women's Athletic Footwear,50.0,925,462500,161875,35%,Outlet,March,2020,Tuesday
46,Walmart,1185732,2020-04-17,Northeast,New York,New York,Men's Apparel,60.0,900,540000,162000,30%,Outlet,April,2020,Friday
47,Walmart,1185732,2020-04-18,Northeast,New York,New York,Women's Apparel,65.0,1075,698750,174688,25%,Outlet,April,2020,Saturday
48,Walmart,1185732,2020-04-19,Northeast,New York,New York,Men's Street Footwear,60.0,1200,720000,360000,50%,Outlet,April,2020,Sunday
49,Walmart,1185732,2020-04-20,Northeast,New York,New York,Men's Athletic Footwear,55.0,1000,550000,165000,30%,Outlet,April,2020,Monday
50,Walmart,1185732,2020-04-21,Northeast,New York,New York,Women's Street Footwear,50.0,925,462500,161875,35%,Outlet,April,2020,Tuesday
51,Walmart,1185732,2020-04-22,Northeast,New York,New York,Women's Athletic Footwear,50.0,900,450000,157500,35%,Outlet,April,2020,Wednesday
52,Walmart,1185732,2020-04-23,Northeast,New York,New York,Men's Apparel,60.0,900,540000,162000,30%,Outlet,April,2020,Thursday
53,Walmart,1185732,2020-04-24,Northeast,New York,New York,Women's Apparel,65.0,1000,650000,162500,25%,Outlet,April,2020,Friday
54,Walmart,1185732,2020-04-25,Northeast,New York,New York,Men's Apparel,65.0,875,568750,170625,30%,Outlet,April,2020,Saturday
55,Walmart,1185732,2020-04-26,Northeast,New York,New York,Women's Apparel,70.0,1000,700000,175000,25%,Outlet,April,2020,Sunday
56,Walmart,1185732,2020-04-27,Northeast,New York,New York,Men's Street Footwear,65.0,1150,747500,373750,50%,Outlet,April,2020,Monday
57,Walmart,1185732,2020-04-28,Northeast,New York,New York,Men's Athletic Footwear,55.0,975,536250,160875,30%,Outlet,April,2020,Tuesday
58,Walmart,1185732,2020-04-29,Northeast,New York,New York,Women's Street Footwear,55.0,920,506000,177100,35%,Outlet,April,2020,Wednesday
59,Walmart,1185732,2020-04-30,Northeast,New York,New York,Women's Athletic Footwear,55.0,900,495000,173250,35%,Outlet,April,2020,Thursday
60,Walmart,1185732,2020-05-01,Northeast,New York,New York,Men's Apparel,65.0,875,568750,170625,30%,Outlet,May,2020,Friday
61,Walmart,1185732,2020-05-02,Northeast,New York,New York,Women's Apparel,70.0,975,682500,170625,25%,Outlet,May,2020,Saturday
62,Walmart,1185732,2020-05-03,Northeast,New York,New York,Men's Street Footwear,65.0,1200,780000,390000,50%,Outlet,May,2020,Sunday
63,Walmart,1185732,2020-05-04,Northeast,New York,New York,Men's Athletic Footwear,55.0,1000,550000,165000,30%,Outlet,May,2020,Monday
64,Walmart,1185732,2020-05-05,Northeast,New York,New York,Women's Street Footwear,55.0,950,522500,182875,35%,Outlet,May,2020,Tuesday
65,Walmart,1185732,2020-05-06,Northeast,New York,New York,Women's Athletic Footwear,55.0,900,495000,173250,35%,Outlet,May,2020,Wednesday
66,Walmart,1185732,2020-05-07,Northeast,New York,New York,Men's Apparel,65.0,900,585000,175500,30%,Outlet,May,2020,Thursday
67,Walmart,1185732,2020-07-18,Northeast,New York,New York,Women's Apparel,70.0,1000,700000,175000,25%,Outlet,July,2020,Saturday
68,Sports Direct,1197831,2020-07-19,Northeast,New York,New York,Men's Street Footwear,25.0,900,225000,78750,35%,Outlet,July,2020,Sunday
69,Sports Direct,1197831,2020-07-20,Northeast,New York,New York,Men's Athletic Footwear,35.0,900,315000,110250,35%,Outlet,July,2020,Monday
70,Sports Direct,1197831,2020-07-21,Northeast,New York,New York,Women's Street Footwear,35.0,700,245000,85750,35%,Outlet,July,2020,Tuesday
71,Sports Direct,1197831,2020-07-22,Northeast,New York,New York,Women's Athletic Footwear,35.0,700,245000,110250,45%,Outlet,July,2020,Wednesday
72,Sports Direct,1197831,2020-07-23,South,Texas,Houston,Men's Apparel,40.0,550,220000,66000,30%,Outlet,July,2020,Thursday
73,Sports Direct,1197831,2020-07-24,South,Texas,Houston,Women's Apparel,35.0,700,245000,122500,50%,Outlet,July,2020,Friday
74,Sports Direct,1197831,2020-07-25,South,Texas,Houston,Men's Street Footwear,25.0,850,212500,74375,35%,Outlet,July,2020,Saturday
75,Sports Direct,1197831,2020-07-26,South,Texas,Houston,Men's Athletic Footwear,35.0,850,297500,104125,35%,Outlet,July,2020,Sunday
76,Sports Direct,1197831,2020-07-27,South,Texas,Houston,Women's Street Footwear,35.0,675,236250,82688,35%,Outlet,July,2020,Monday
77,Sports Direct,1197831,2020-07-28,South,Texas,Houston,Women's Athletic Footwear,35.0,625,218750,98438,45%,Outlet,July,2020,Tuesday
78,Sports Direct,1197831,2020-07-29,South,Texas,Houston,Men's Apparel,40.0,500,200000,60000,30%,Outlet,July,2020,Wednesday
79,Sports Direct,1197831,2020-07-30,South,Texas,Houston,Women's Apparel,35.0,700,245000,122500,50%,Outlet,July,2020,Thursday
80,Sports Direct,1197831,2020-07-31,South,Texas,Houston,Men's Street Footwear,30.0,875,262500,91875,35%,Outlet,July,2020,Friday
81,Sports Direct,1197831,2020-08-01,South,Texas,Houston,Men's Athletic Footwear,40.0,875,350000,122500,35%,Outlet,August,2020,Saturday
82,Sports Direct,1197831,2020-08-02,South,Texas,Houston,Women's Street Footwear,35.0,700,245000,85750,35%,Outlet,August,2020,Sunday
83,Sports Direct,1197831,2020-08-03,South,Texas,Houston,Women's Athletic Footwear,40.0,600,240000,108000,45%,Outlet,August,2020,Monday
84,Sports Direct,1197831,2020-08-04,South,Texas,Houston,Men's Apparel,45.0,500,225000,67500,30%,Outlet,August,2020,Tuesday
85,Sports Direct,1197831,2020-08-05,South,Texas,Houston,Women's Apparel,40.0,650,260000,130000,50%,Outlet,August,2020,Wednesday
86,Sports Direct,1197831,2020-08-06,South,Texas,Houston,Men's Street Footwear,30.0,900,270000,94500,35%,Outlet,August,2020,Thursday
87,Sports Direct,1197831,2020-08-07,South,Texas,Houston,Men's Athletic Footwear,40.0,900,360000,126000,35%,Outlet,August,2020,Friday
88,Sports Direct,1197831,2020-08-08,South,Texas,Houston,Women's Street Footwear,35.0,725,253750,88813,35%,Outlet,August,2020,Saturday
89,Sports Direct,1197831,2020-08-09,South,Texas,Houston,Women's Athletic Footwear,40.0,625,250000,112500,45%,Outlet,August,2020,Sunday
90,Walmart,1197831,2020-08-10,South,Texas,Houston,Men's Apparel,45.0,525,236250,70875,30%,Outlet,August,2020,Monday
91,Walmart,1197831,2020-08-11,South,Texas,Houston,Women's Apparel,40.0,800,320000,160000,50%,Outlet,August,2020,Tuesday
92,Walmart,1197831,2020-08-12,South,Texas,Houston,Men's Street Footwear,30.0,925,277500,97125,35%,Outlet,August,2020,Wednesday
93,Walmart,1197831,2020-08-13,South,Texas,Houston,Men's Athletic Footwear,40.0,925,370000,129500,35%,Outlet,August,2020,Thursday
94,Walmart,1197831,2020-08-14,South,Texas,Houston,Women's Street Footwear,35.0,775,271250,94938,35%,Outlet,August,2020,Friday
95,Walmart,1197831,2020-08-15,South,Texas,Houston,Women's Athletic Footwear,40.0,700,280000,126000,45%,Outlet,August,2020,Saturday
96,Walmart,1197831,2020-08-16,South,Texas,Houston,Men's Apparel,45.0,600,270000,81000,30%,Outlet,August,2020,Sunday
97,Walmart,1197831,2020-08-17,South,Texas,Houston,Women's Apparel,40.0,950,380000,190000,50%,Outlet,August,2020,Monday
98,Walmart,1197831,2020-08-18,South,Texas,Houston,Men's Street Footwear,40.0,950,380000,133000,35%,Outlet,August,2020,Tuesday
99,Walmart,1197831,2020-08-19,South,Texas,Houston,Men's Athletic Footwear,45.0,950,427500,149625,35%,Outlet,August,2020,Wednesday
100,Walmart,1197831,2020-08-20,South,Texas,Houston,Women's Street Footwear,40.0,800,320000,112000,35%,Outlet,August,2020,Thursday
101,Walmart,1197831,2020-08-21,South,Texas,Houston,Women's Athletic Footwear,40.0,750,300000,135000,45%,Outlet,August,2020,Friday
102,Walmart,1197831,2020-08-22,South,Texas,Houston,Men's Apparel,45.0,650,292500,87750,30%,Outlet,August,2020,Saturday
103,Walmart,1197831,2020-08-23,South,Texas,Houston,Women's Apparel,50.0,1000,500000,250000,50%,Outlet,August,2020,Sunday
104,Walmart,1197831,2020-08-24,South,Texas,Houston,Men's Street Footwear,40.0,950,380000,133000,35%,Outlet,August,2020,Monday
105,Walmart,1197831,2020-08-25,South,Texas,Houston,Men's Athletic Footwear,45.0,950,427500,149625,35%,Outlet,August,2020,Tuesday
106,Walmart,1197831,2020-08-26,South,Texas,Houston,Women's Street Footwear,40.0,1100,440000,154000,35%,Outlet,August,2020,Wednesday
107,Walmart,1197831,2020-08-27,South,Texas,Houston,Women's Athletic Footwear,40.0,700,280000,126000,45%,Outlet,August,2020,Thursday
108,Walmart,1197831,2020-08-28,South,Texas,Houston,Men's Apparel,45.0,700,315000,94500,30%,Outlet,August,2020,Friday
109,Walmart,1197831,2020-08-29,South,Texas,Houston,Women's Apparel,50.0,975,487500,243750,50%,Outlet,August,2020,Saturday
110,Walmart,1197831,2020-08-30,South,Texas,Houston,Men's Street Footwear,40.0,925,370000,129500,35%,Outlet,August,2020,Sunday
111,Walmart,1197831,2020-08-31,South,Texas,Houston,Men's Athletic Footwear,45.0,925,416250,145688,35%,Outlet,August,2020,Monday
112,Walmart,1197831,2020-09-01,South,Texas,Houston,Women's Street Footwear,40.0,1100,440000,154000,35%,Outlet,September,2020,Tuesday
113,Walmart,1197831,2020-09-02,South,Texas,Houston,Women's Athletic Footwear,40.0,650,260000,117000,45%,Outlet,September,2020,Wednesday
114,Walmart,1197831,2020-09-03,South,Texas,Houston,Men's Apparel,45.0,650,292500,87750,30%,Outlet,September,2020,Thursday
115,Walmart,1197831,2020-09-04,South,Texas,Houston,Women's Apparel,50.0,900,450000,225000,50%,Outlet,September,2020,Friday
116,Walmart,1197831,2020-09-05,South,Texas,Houston,Men's Street Footwear,45.0,850,382500,133875,35%,Outlet,September,2020,Saturday
117,Walmart,1197831,2020-09-06,South,Texas,Houston,Men's Athletic Footwear,45.0,850,382500,133875,35%,Outlet,September,2020,Sunday
118,Walmart,1197831,2020-09-07,South,Texas,Houston,Women's Street Footwear,50.0,900,450000,157500,35%,Outlet,September,2020,Monday
119,Walmart,1197831,2020-09-08,South,Texas,Houston,Women's Athletic Footwear,50.0,625,312500,140625,45%,Outlet,September,2020,Tuesday
120,Walmart,1197831,2020-09-09,South,Texas,Houston,Men's Apparel,45.0,625,281250,84375,30%,Outlet,September,2020,Wednesday
121,Walmart,1197831,2020-09-10,South,Texas,Houston,Women's Apparel,55.0,850,467500,233750,50%,Outlet,September,2020,Thursday
122,Walmart,1197831,2020-09-11,South,Texas,Houston,Men's Street Footwear,45.0,800,360000,126000,35%,Outlet,September,2020,Friday
123,Walmart,1197831,2020-09-12,South,Texas,Houston,Men's Athletic Footwear,45.0,800,360000,126000,35%,Outlet,September,2020,Saturday
124,Walmart,1197831,2020-09-13,South,Texas,Houston,Women's Street Footwear,50.0,750,375000,131250,35%,Outlet,September,2020,Sunday
125,Walmart,1197831,2020-09-14,South,Texas,Houston,Women's Athletic Footwear,50.0,600,300000,135000,45%,Outlet,September,2020,Monday
126,Walmart,1197831,2020-09-15,South,Texas,Houston,Men's Apparel,45.0,575,258750,77625,30%,Outlet,September,2020,Tuesday
127,Walmart,1197831,2020-09-16,South,Texas,Houston,Women's Apparel,55.0,750,412500,206250,50%,Outlet,September,2020,Wednesday
128,Walmart,1197831,2020-10-20,South,Texas,Houston,Men's Street Footwear,45.0,900,405000,141750,35%,Outlet,October,2020,Tuesday
129,Walmart,1197831,2020-10-21,South,Texas,Houston,Men's Athletic Footwear,45.0,900,405000,141750,35%,Outlet,October,2020,Wednesday
130,Walmart,1197831,2020-10-22,South,Texas,Houston,Women's Street Footwear,50.0,825,412500,144375,35%,Outlet,October,2020,Thursday
131,Walmart,1197831,2020-10-23,South,Texas,Houston,Women's Athletic Footwear,50.0,675,337500,151875,45%,Outlet,October,2020,Friday
132,Walmart,1197831,2020-10-24,South,Texas,Houston,Men's Apparel,45.0,650,292500,87750,30%,Outlet,October,2020,Saturday
133,Walmart,1197831,2020-10-25,South,Texas,Houston,Women's Apparel,55.0,850,467500,233750,50%,Outlet,October,2020,Sunday
134,Walmart,1197831,2020-10-26,South,Texas,Houston,Men's Street Footwear,45.0,950,427500,149625,35%,Outlet,October,2020,Monday
135,Walmart,1197831,2020-10-27,South,Texas,Houston,Men's Athletic Footwear,45.0,950,427500,149625,35%,Outlet,October,2020,Tuesday
136,Walmart,1197831,2020-10-28,South,Texas,Houston,Women's Street Footwear,50.0,850,425000,148750,35%,Outlet,October,2020,Wednesday
137,Walmart,1197831,2020-10-29,South,Texas,Houston,Women's Athletic Footwear,50.0,700,350000,157500,45%,Outlet,October,2020,Thursday
138,Walmart,1197831,2020-10-30,South,Texas,Houston,Men's Apparel,45.0,650,292500,87750,30%,Outlet,October,2020,Friday
139,Walmart,1197831,2020-10-31,South,Texas,Houston,Women's Apparel,55.0,900,495000,247500,50%,Outlet,October,2020,Saturday
140,West Gear,1128299,2020-11-01,South,Texas,Houston,Men's Street Footwear,40.0,775,310000,108500,35%,Outlet,November,2020,Sunday
141,West Gear,1128299,2020-11-02,South,Texas,Houston,Men's Athletic Footwear,50.0,775,387500,77500,20%,Outlet,November,2020,Monday
142,West Gear,1128299,2020-11-03,South,Texas,Houston,Women's Street Footwear,50.0,775,387500,135625,35%,Outlet,November,2020,Tuesday
143,West Gear,1128299,2020-11-04,South,Texas,Houston,Women's Athletic Footwear,50.0,625,312500,93750,30%,Outlet,November,2020,Wednesday
